,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
244,2021-04-01,"Chichibu, Single Mizunara Cask, One of 249 Bottles (Cask 1441)",Chichibu,8.0,2011.0,2019.0,59.0,700,True,False,False,False,1031
245,2017-08-01,"Chichibu, Single Mizunara Head Hogshead, (Cask 1431)",Chichibu,5.0,2011.0,2016.0,61.0,700,False,False,False,False,864
246,2021-03-01,"Chichibu, Single Oloroso Cask (Ichiro´s Malt), One of 338 Bottles (Cask 2622)",Chichibu,4.0,2010.0,2014.0,59.0,700,True,False,False,True,1537
247,2021-05-01,"Chichibu, Single Pinot Noir Cask, One of 205 Bottles (Cask 5077)",Chichibu,7.0,2012.0,2019.0,62.2,700,True,False,False,False,1428
248,2020-09-01,"Chichibu, Single Sherry Cask, (Cask 2633)",Chichibu,7.0,2010.0,2017.0,59.6,700,False,False,False,False,2538
249,2021-05-01,"Chichibu, Takashimaya, (Cask 6123)",Chichibu,,2013.0,,61.0,700,False,False,False,False,1020
250,2021-04-01,"Chichibu, Takashimaya, One of 255 Bottles (Cask 4551)",Chichibu,9.0,2011.0,2020.0,59.8,700,True,False,False,False,1241
251,2021-04-01,"Chichibu, Takashimaya, One of 243 Bottles (Cask 9122)",Chichibu,8.0,2012.0,2020.0,58.1,700,True,False,False,False,1528
252,2020-02-01,"Chichibu, The First (Ichiro´s Malt), b'<p class=""bottle_secondary""/>'",Chichibu,3.0,,,59.0,750,False,False,False,True,503
253,2021-04-01,"Chichibu, The First (Ichiro´s Malt), One of 7400 Bottles",Chichibu,3.0,2008.0,2011.0,61.8,700,True,False,False,True,523
254,2021-05-01,"Chichibu, The First Ten, One of 5000 Bottles",Chichibu,10.0,,2020.0,50.5,700,True,False,False,False,1054
255,2017-08-01,"Chichibu, The Floor Malted (Ichiro´s Malt), (Cask 653)",Chichibu,3.0,2010.0,2013.0,62.0,700,False,False,False,True,353
256,2020-01-01,"Chichibu, The Floor Malted (2015 Release), b'<p class=""bottle_secondary""/>'",Chichibu,6.0,2009.0,2015.0,58.5,750,False,False,False,False,311
257,2017-07-01,"Chichibu, The Floor Malted (Ichiro´s Malt), One of 8800 Bottles",Chichibu,3.0,2009.0,2012.0,50.5,750,True,False,False,True,193
258,2021-04-01,"Chichibu, The Floor Malted (Ichiro´s Malt), One of 8800 Bottles",Chichibu,3.0,2009.0,2012.0,50.5,700,True,False,False,True,458
259,2021-04-01,"Chichibu, The Game, (Cask 215)",Chichibu,11.0,2008.0,2019.0,61.4,700,False,False,False,False,4074
260,2021-05-01,"Chichibu, The Peated (Ichiro´s Malt), One of 11550 Bottles",Chichibu,,,2018.0,55.5,700,True,False,False,True,298
261,2021-05-01,"Chichibu, The Peated (Ichiro´s Malt), One of 5980 Bottles",Chichibu,4.0,2011.0,2015.0,62.5,700,True,False,False,True,455
262,2021-04-01,"Chichibu, The Peated (Ichiro´s Malt), One of 6350 Bottles",Chichibu,4.0,2012.0,2016.0,54.5,700,True,False,False,True,274
263,2021-04-01,"Chichibu, The Peated (Ichiro´s Malt), One of 5000 Bottles",Chichibu,3.0,2009.0,2012.0,50.5,700,True,False,False,True,344
